Calculated Drug-Tumor Correlation Score (DTCS) for M3814:

DTCS Score: 52.862935213750575
DGIdb Interaction Score normalized DTCS Score: 429.2470339356543
Average TVIR Score: 0.5339690425631372
Median TVIR Score: 0.5228441310415749

Calculated TVIR scores for M3814:

Target_gene	Vulnerability_gene	TVIR_Score	normalized_TVIR_Score
PRKDC	PRPF40A	0.13779932422506244	1.1189305127075069
PRKDC	THRB	0.7670045541354488	6.228076979579844
PRKDC	NDST2	0.0057293962097840455	0.046522697223446444
PRKDC	IL32	0.5554576171588071	4.510315851329514
PRKDC	NUP205	0.1836344939033348	1.4911120904950785
PRKDC	MGAM	0.5686793007198472	4.617675921845159
PRKDC	WASF1	0.618774790656677	5.024451300132216
PRKDC	COL5A3	0.45188776259732627	3.669328632290289
PRKDC	GIT1	0.4677537828705744	3.798160716909064
PRKDC	LPL	0.3484648156309681	2.8295343029234608
PRKDC	GPRC6A	0.4636403702071397	3.7647598060819742
PRKDC	KMT2C	0.31350080799177316	2.5456265608931976
PRKDC	SLC37A4	0.657705303364184	5.340567063317174
PRKDC	CHRNG	0.22374026737182312	1.8167709710592035
PRKDC	ALG6	0.33010136624063463	2.680423093873953
PRKDC	ECI1	0.14191273688849715	1.1523314235345967
PRKDC	PRKD2	0.6888497135301895	5.593459673865138
PRKDC	SLC22A1	0.5451740855002204	4.426813574261789
PRKDC	PARVB	0.6584398413397973	5.346531511679153
PRKDC	HGS	0.4987512854414573	4.049860437784633
PRKDC	BCL6	0.9503452328485382	7.716803290730129
PRKDC	OR8U1	0.287057440869693	2.3309064198619067
PRKDC	RAE1	0.1836344939033348	1.4911120904950785
PRKDC	GABRA1	0.40458351696782724	3.2852181577787567
PRKDC	FOLR3	0.5914499779638608	4.802573821066549
PRKDC	NHEJ1	0.9998530924048773	8.118807110327603
PRKDC	IBSP	0.8513295137358602	6.912795651535184
PRKDC	MRPL13	0.048038783605112385	0.39007492287351253
PRKDC	SLC9A3	0.4658439841339797	3.782653151167915
PRKDC	PGLS	0.3923901865726458	3.1862083149698837
PRKDC	MICA	0.7389452034670192	6.000235052152195
PRKDC	HDAC2	0.9905979139121492	8.043655060966652
PRKDC	SERPINF2	0.37711179667988837	3.062147789040693
PRKDC	TRIP12	0.9631261936242104	7.8205846922285875
PRKDC	CBLC	0.9134714264727486	7.417387982958718
PRKDC	EDEM3	0.7315998237108858	5.940590568532392
PRKDC	TGIF1	0.9531364771558689	7.739468194505655
PRKDC	OXA1L	0.32775084471867194	2.661336859115616
PRKDC	CD8B	0.7722932275598648	6.271021007786102
PRKDC	ABCC12	0.06640223299544587	0.5391861319230205
PRKDC	OR1D5	0.287057440869693	2.3309064198619067
PRKDC	BCL6	0.9503452328485382	7.716803290730129
PRKDC	UGDH	0.08741001909798736	0.7097693550756573
PRKDC	MUC5AC	0.7797855149111209	6.331858381078301
PRKDC	GDPD3	0.22682532686939916	1.841821654179521
PRKDC	GPER1	0.715146173057147	5.806986925224033
PRKDC	NLGN4Y	0.5141765829293374	4.17511385338622
